wet_name,effect_type,gain_level,sisdr_wet,sisdr_restored,sisdr_improvement,l1_wet,l1_restored,mrstft_wet,mrstft_restored,mcd_wet,mcd_restored
dataset4_Career_SG_fast_jazz_jazz_3_140BPM_chime_bass5p0_cut5p0_treble5p0_volume7p0_wet,unknown,unknown,-1.4331847767190478,8.500846107926721,9.934030884645768,0.041752003,0.015674084,2.0624310970306396,0.8790140151977539,98.68295434292959,38.5348233624623
dataset4_Career_SG_fast_jazz_jazz_3_140BPM_chime_bass7p0_cut5p0_treble5p0_volume10p0_wet,unknown,unknown,-3.0453600510634606,8.02688123235179,11.072241283415252,0.045305476,0.01642921,2.2362096309661865,0.9165353178977966,104.0116600426254,36.97403537339866
dataset4_Career_SG_fast_jazz_jazz_3_140BPM_plexi_bass5p0_middle5p0_presence5p0_treble5p0_volume_15p0_amp_delay_reverb_8_wet,amp_delay_reverb,unknown,-4.933530067686646,5.1810081580255085,10.114538225712154,0.04392936,0.022447292,2.2220027446746826,1.2460708618164062,127.76052498471523,46.73701199018004
dataset4_Career_SG_fast_jazz_jazz_4_88BPM_blackpanel_v2.0_t5.0_b5.0_wet,nam_only,clean,-2.7271418495217903,8.423065269157968,11.15020711867976,0.06600762,0.029900607,1.9000710248947144,1.0981143712997437,66.57263026067508,25.621463748606885
dataset4_Career_SG_fast_jazz_jazz_4_88BPM_blackpanel_v5.5_t8.0_b5.0_comp_amp_reverb_13_wet,comp_amp_reverb,breakup,-2.674846042203594,7.631116647596849,10.305962689800442,0.068747245,0.03683596,2.1435344219207764,1.1461833715438843,109.15698181181436,34.023325452810994
dataset4_Career_SG_fast_jazz_jazz_4_88BPM_blackpanel_v7.0_t8.0_b3.0_wet,nam_only,crunch,-3.743690739345167,8.928870916872336,12.672561656217503,0.070614405,0.029214503,2.1407294273376465,0.9644816517829895,104.90920592758029,27.85122983595011
dataset4_Career_SG_fast_jazz_jazz_6_180BPM_blackpanel_v2.0_t5.0_b5.0_amp_delay_reverb_11_wet,amp_delay_reverb,clean,-2.48783649388871,5.03528648803817,7.52312298192688,0.06087767,0.031644635,2.6593801975250244,1.2313151359558105,142.74301572992502,41.962748562958716
dataset4_Career_SG_fast_latin_latin_5_180BPM_blackpanel_v10.0_t5.0_b7.0_wet,nam_only,cranked,1.1533964486438195,9.08884258986898,7.93544614122516,0.06249534,0.035284206,2.0305604934692383,1.0483516454696655,98.39237668631776,42.79807840182333
dataset4_Career_SG_fast_latin_latin_5_180BPM_blackpanel_v5.5_t8.0_b5.0_amp_chorus_reverb_5_wet,amp_chorus_reverb,breakup,-1.5316023114216317,6.785271117966516,8.316873429388147,0.06474859,0.03259099,2.2663018703460693,0.9868400692939758,112.37708207627497,44.39547258920107
dataset4_Career_SG_fast_latin_latin_5_180BPM_blackpanel_v7.0_t8.0_b3.0_wet,nam_only,crunch,-0.37590272018841586,9.087604508673898,9.463507228862314,0.064393856,0.027460033,2.103109121322632,0.9364919662475586,104.60512608740923,41.8267303849117
dataset4_Career_SG_fast_latin_latin_5_180BPM_chime_bass3p0_cut3p0_treble8p0_volume3p0_amp_reverb_0_wet,amp_reverb,unknown,-1.5507386415463085,5.906695252927911,7.457433894474219,0.06607349,0.04514089,2.1968181133270264,1.1831200122833252,109.90727585548325,49.391449611540764
dataset4_Career_SG_fast_latin_latin_5_180BPM_chime_bass5p0_cut5p0_treble5p0_volume7p0_amp_delay_reverb_8_wet,amp_delay_reverb,unknown,-2.879830666082712,5.111878669890137,7.99170933597285,0.070390165,0.05063289,2.5286788940429688,1.3445919752120972,127.98670595029961,49.77932899848478
dataset4_Career_SG_fast_metal_metal_4_180BPM_blackpanel_v10.0_t5.0_b7.0_wet,nam_only,cranked,-4.055156226943694,3.138922444731425,7.194078671675119,0.040713158,0.03235679,1.8850444555282593,1.0827840566635132,98.22141544147831,41.84478461455436
dataset4_Career_SG_fast_metal_metal_4_180BPM_blackpanel_v4.5_t3.0_b7.0_amp_chorus_reverb_2_wet,amp_chorus_reverb,breakup,-5.551040659441532,0.3652935336401639,5.9163341930816955,0.0429009,0.042214733,2.059748649597168,1.472462773323059,106.2956608134459,38.93612575876486
dataset4_Career_SG_fast_metal_metal_4_180BPM_chime_bass5p0_cut5p0_treble5p0_volume5p0_comp_amp_delay_reverb_5_wet,comp_amp_delay_reverb,unknown,-6.480616161302777,2.1615244133313167,8.642140574634094,0.04740186,0.04122394,2.165733575820923,1.4602117538452148,108.27498212919694,38.63528980086049
dataset4_Career_SG_fast_metal_metal_4_180BPM_plexi_bass3p0_middle5p0_presence7p0_treble7p0_volume_17p0_comp_amp_delay_reverb_0_wet,comp_amp_delay_reverb,unknown,-10.699222321383019,2.444089435601809,13.143311756984827,0.057098575,0.039005183,2.2653086185455322,1.5118283033370972,124.61479863244654,40.14407685527084
dataset4_Career_SG_fast_metal_metal_6_130BPM_plexi_bass3p0_middle5p0_presence7p0_treble7p0_volume_17p0_amp_delay_reverb_0_wet,amp_delay_reverb,unknown,-8.262864721117179,4.06711903685935,12.329983757976528,0.06703121,0.057341624,2.351364850997925,1.56185781955719,137.68929237282777,40.86968862423161
